일련번호,검색량년월,출처ID,대표키워드명,검색어명,검색량값,출처분류명
32104,Mar-23,8,상주 이야기축제,상주이야기축제,16,문화축제
32105,Mar-23,713,상화문학제,상화문학제,30,문화축제
32106,Mar-23,596,생거진천 문화축제,생거진천문화축제,26,문화축제
32107,Mar-23,274,생초국제조각공원 꽃잔디 축제,생초국제조각공원꽃잔디축제,19,문화축제
32108,Mar-23,844,서귀포 유채꽃 국제걷기대회,서귀포유채꽃국제걷기대회,250,문화축제
32109,Mar-23,838,서귀포겨울바다 국제펭귄수영대회,서귀포겨울바다국제펭귄수영대회,16,문화축제
32110,Mar-23,883,서귀포칠십리축제,서귀포칠십리축제,120,문화축제
32111,Mar-23,388,서리풀페스티벌,서리풀페스티벌,200,문화축제
32112,Mar-23,180,서산6쪽마늘축제,서산6쪽마늘축제,20,문화축제
32113,Mar-23,185,서산국화축제,서산국화축제,250,문화축제
32114,Mar-23,183,서산어리굴젓축제,서산어리굴젓축제,19,문화축제
32115,Mar-23,648,서산해미읍성역사체험축제,서산해미읍성역사체험축제,17,문화축제
32116,Mar-23,184,서산해미읍성축제,서산해미읍성축제,620,문화축제
32117,Mar-23,125,서울장미축제,서울장미축제,5970,문화축제
32118,Mar-23,520,서편제보성소리축제,서편제보성소리축제,240,문화축제
32119,Mar-23,113,석촌호수벚꽃축제,석촌호수벚꽃축제,42380,문화축제
32120,Mar-23,677,선농대제,선농대제,30,문화축제
32121,Mar-23,794,선사문화축제,선사문화축제,50,문화축제
32122,Mar-23,854,설문대할망 페스티벌 2019,설문대할망페스티벌,15,문화축제
32123,Mar-23,405,설봉산별빛축제,설봉산별빛축제,20,문화축제
32124,Mar-23,782,설성문화제,설성문화제,50,문화축제
32125,Mar-23,1111,설화예술제,설화예술제,10,문화축제
32126,Mar-23,837,성산일출축제,성산일출축제,30,문화축제
32127,Mar-23,678,세계거리춤축제,세계거리춤축제,70,문화축제
32128,Mar-23,652,세종 조치원 복숭아  축제,세종조치원복숭아축제,100,문화축제
32129,Mar-23,24,세종대왕과 초정약수 축제,세종대왕과초정약수축제,50,문화축제
32130,Mar-23,651,세종축제,세종축제,1370,문화축제
32131,Mar-23,752,소래포구축제,소래포구축제,600,문화축제
32132,Mar-23,1141,소양강문화제,소양강문화제,20,문화축제
32133,Mar-23,882,쇠소깍축제,쇠소깍축제,20,문화축제
32134,Mar-23,153,수선화축제,수선화축제,42340,문화축제
32135,Mar-23,715,수성못 페스티벌,수성못페스티벌,170,문화축제
32136,Mar-23,451,수원화성문화제,수원화성문화제,680,문화축제
32137,Mar-23,438,순창장류축제,순창장류축제,340,문화축제
32138,Mar-23,866,스테핑스톤페스티벌,스테핑스톤페스티벌,30,문화축제
32139,Mar-23,1036,시래기축제,시래기축제,14,문화축제
32140,Mar-23,452,시흥갯골축제,시흥갯골축제,770,문화축제
32141,Mar-23,151,신안튤립축제,신안튤립축제,19200,문화축제
32142,Mar-23,195,심훈상록문화제,심훈상록문화제,20,문화축제
32143,Mar-23,175,아산성웅이순신축제,아산성웅이순신축제,3960,문화축제
32144,Mar-23,675,아트제주2019,아트제주,120,문화축제
32145,Mar-23,531,안동국제탈춤축제,안동국제탈춤축제,16,문화축제
32146,Mar-23,530,안동민속축제,안동민속축제,180,문화축제
32147,Mar-23,529,안동봄꽃축제,안동봄꽃축제,130,문화축제
32148,Mar-23,804,안산국제거리극축제,안산국제거리극축제,1380,문화축제
